scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,1024,1048576,4,262144,BJ,0,4,1,577,9.65072e-09,5.60224,0.376586,0.00312586,4.65379,0.0131554,0.272932,216360
strong,1024,1048576,4,262144,AS1,1,4,1,553,9.99784e-09,6.61397,0.650897,0.00415232,5.4076,0.00768494,0.267478,216360
strong,1024,1048576,4,262144,AS2,2,4,1,578,9.9035e-09,6.9504,0.671106,0.00343106,5.69696,0.00907419,0.280544,216360
strong,1024,1048576,4,262144,BJ,0,4,2,577,9.65072e-09,5.58618,0.376041,0.0036411,4.64255,0.0117422,0.270381,216360
strong,1024,1048576,4,262144,AS1,1,4,2,553,9.99784e-09,6.64152,0.664997,0.00350742,5.42191,0.00659707,0.266479,216360
strong,1024,1048576,4,262144,AS2,2,4,2,578,9.9035e-09,6.96345,0.682885,0.036121,5.70928,0.0357468,0.25726,216360
strong,1024,1048576,4,262144,BJ,0,4,3,577,9.65072e-09,5.59159,0.381273,0.0156386,4.63963,0.0379147,0.257006,216360
strong,1024,1048576,4,262144,AS1,1,4,3,553,9.99784e-09,6.63532,0.663447,0.00281861,5.41553,0.00788089,0.267924,216360
strong,1024,1048576,4,262144,AS2,2,4,3,578,9.9035e-09,6.97893,0.707539,0.0427135,5.70873,0.0194808,0.264126,216360
strong,1024,1048576,4,262144,BJ,0,4,4,577,9.65072e-09,5.57971,0.370325,0.00260968,4.64513,0.0092674,0.269854,216360
strong,1024,1048576,4,262144,AS1,1,4,4,553,9.99784e-09,6.62496,0.658377,0.0281177,5.42602,0.0250302,0.248408,216360
strong,1024,1048576,4,262144,AS2,2,4,4,578,9.9035e-09,6.96109,0.682367,0.00416501,5.69656,0.00802521,0.281334,216360
strong,1024,1048576,4,262144,BJ,0,4,5,577,9.65072e-09,5.58463,0.375821,0.00354739,4.64477,0.00601215,0.272681,216360
strong,1024,1048576,4,262144,AS1,1,4,5,553,9.99784e-09,6.62762,0.659996,0.00282367,5.41209,0.0117292,0.263938,216360
strong,1024,1048576,4,262144,AS2,2,4,5,578,9.9035e-09,6.97489,0.690882,0.00298862,5.70306,0.00619013,0.281084,216360
